,mean,sd,mean-sd
esco_5_digit,2.5033348873968646,6.425151928930978,-3.9218170415341134
isco_4_digit,13.425481670748672,9.180164094500046,4.245317576248626
isco_3_digit,20.16853683056875,8.57232781809418,11.59620901247457
