EF137UG1,n_obs,EF952_sum,share_green,share_brown,share_neutral,share_green_cat_abs,share_brown_cat_abs,share_neutral_cat_abs,share_green_cat_rel,share_brown_cat_rel,share_neutral_cat_rel
Mining support service activities,7,628.308,0,0.0492727204562801,0.9507272795437198,0,0,1,0,0.2217272420532605,0.7782727579467396
"Manufacture of motor vehicles, trailers and semi-trailers",65,6928.518,0,0.08259717301737543,0.9174028269826245,0,0.05098377459652987,0.9490162254034701,0,0.19324406749033488,0.806755932509665
Remediation activities and other waste management services,8,726.45,0,0.17286423321938496,0.827135766780615,0,0.1427531144607337,0.8572468855392662,0,0.27825314887466446,0.7217468511253354
"Creative, arts and entertainment activities",322,36019.201,0,0.027980520722822252,0.9720194792771777,0,0,1,0,0.12591234325270012,0.8740876567472998
Repair of computers and personal and household goods,4,437.466,0,0,1,0,0,1,0,0,1
Other personal service activities,6,650.742,0,0,1,0,0,1,0,0,1
