EF137,n_obs,EF952_sum,share_green,share_brown,share_neutral,share_green_cat_abs,share_brown_cat_abs,share_neutral_cat_abs,share_green_cat_rel,share_brown_cat_rel,share_neutral_cat_rel
Support activities for other mining and quarrying,7,628.308,0,0.0492727204562801,0.9507272795437198,0,0,1,0,0.2217272420532605,0.7782727579467396
"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",14,1391.837,0,0.08650941166242886,0.9134905883375712,0,0.07566187707324924,0.9243381229267508,0,0.12447578272455755,0.8755242172754425
Manufacture of parts and accessories for motor vehicles,51,5536.681,0,0.08161369600307476,0.9183863039969253,0,0.04478007672827819,0.9552199232717218,0,0.21053136346486281,0.7894686365351373
Remediation activities and other waste management services,8,726.45,0,0.17286423321938496,0.827135766780615,0,0.1427531144607337,0.8572468855392662,0,0.27825314887466446,0.7217468511253354
Sea and coastal passenger water transport,94,10434.425,0,0.03541250343081781,0.9645874965691822,0,0,1,0,0.15935626543868014,0.8406437345613199
Radio broadcasting,37,4337.5560000000005,0,0.07263737152135134,0.9273626284786486,0,0,1,0,0.326868171846081,0.6731318281539188
Activities of head offices,49,5522.12,0,0.023721485387657074,0.9762785146123429,0,0,1,0,0.10674668424445684,0.8932533157555432
Private security activities,33,3843.989,0,0.04398948881256192,0.9560105111874381,0,0,1,0,0.19795269965652867,0.8020473003434714
"Creative, arts and entertainment activities",109,11881.111,0,0.0019501730286184701,0.9980498269713814,0,0,1,0,0.008775778628783116,0.9912242213712168
Repair of personal and household goods,4,437.466,0,0,1,0,0,1,0,0,1
Other personal service activities,6,650.742,0,0,1,0,0,1,0,0,1
