EF189,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
"Schleswig-Holstein, Hamburg, Bremen, Saarland, Berlin, Mecklenburg-Western Pomerania, Saxony-Anhalt, Thuringia, Brandenburg",81041,9243571.984,58650.873285579255,53789.1673040709,9131131.94341035,0.006345044252059698,0.005819088918999747,0.9878358668289406
Braunschweig (Lower Saxony),7801,825288.125,6581.389269041504,5881.925363473251,812824.8103674853,0.00797465644988107,0.007127117409417773,0.9848982261407012
Hannover (Lower Saxony),10522,1078484.504,6609.338398892745,5853.248770072699,1066021.9168310345,0.006128357314712744,0.0054272905622320365,0.9884443521230551
Lueneburg (Lower Saxony),6457,687405.482,4109.5908995868895,4175.763079360881,679120.1280210522,0.0059784086790085995,0.0060746723567166455,0.9879469189642748
Weser-Ems (Lower Saxony),12161,1272050.133,8328.01799862238,8647.400810646272,1255074.7141907313,0.006546925928918856,0.006798003149649663,0.9866550709214315
Duesseldorf (North Rhine-Westphalia),22787,2578576.392,15439.62409925848,13397.448492796297,2549739.319407945,0.005987654330179907,0.005195676395068887,0.9888166692747511
Koeln (North Rhine-Westphalia),19452,2228164.93,13704.96106544049,11430.533973851507,2203029.434960708,0.006150783939248379,0.0051300214898595976,0.988719194570892
Muenster (North Rhine-Westphalia),10805,1223112.795,6702.406595598681,8055.930498817991,1208354.4579055833,0.005479794359929561,0.006586416667170906,0.9879337889728996
Detmold (North Rhine-Westphalia),9251,1031087.599,5653.079700136203,5172.912836012573,1020261.6064638512,0.005482637659126965,0.005016947969337931,0.989500414371535
Arnsberg (North Rhine-Westphalia),15192,1710815.816,9878.037615113693,10745.931914274854,1690191.8464706114,0.005773875552664223,0.006281174053791219,0.9879449503935445
Darmstadt (Hessen),20408,2198971.878,11331.787891619742,9551.21242637087,2178088.8776820092,0.0051532209233736016,0.004343490029102987,0.9905032890475234
Gießen (Hessen),4557,484272.162,2743.6251729485393,2560.696130797518,478967.84069625393,0.005665461259671868,0.005287721103402012,0.989046817636926
Kassel (Hessen),5832,629481.825,4064.8114797948524,4547.852508556278,620869.1610116488,0.006457392919636484,0.007224755867345778,0.9863178512130177
Region Koblenz (Rhineland-Palatinate),6605,680566.459,3270.63455790577,3862.7133988472738,673433.1110432469,0.004805753375962023,0.005675732836618199,0.9895185137874197
Region Trier (Rhineland-Palatinate),2335,248994.74,1461.4402527452523,1575.9794674177401,245957.320279837,0.005869361950157069,0.006329368513639044,0.987801269536204
Region Rheinhessen-Pfalz (Rhineland-Palatinate),9135,951910.54,5353.228155239951,6546.942915377908,940010.3689293822,0.005623667277851499,0.0068776871778076,0.9874986455443409
Stuttgart (Baden-Wuerttemberg),20939,2357945.207,13957.981310051971,12833.239392261661,2331153.9862976866,0.005919552866883887,0.005442551995764701,0.9886378951373516
Karlsruhe (Baden-Wuerttemberg),13933,1532954.507,9409.49494424084,7755.992387625669,1515789.0196681335,0.006138143631317064,0.0050595059098030165,0.9888023504588799
Freiburg (Baden-Wuerttemberg),10286,1157922.841,4933.278104015311,5676.8458331330285,1147312.7170628516,0.004260454953764326,0.0049026114971792226,0.9908369335490564
Tuebingen (Baden-Wuerttemberg),8938,1012726.6,5947.665346285379,5558.814270828778,1001220.1203828858,0.005872923004377864,0.005488958491688456,0.9886381185039337
Oberbayern (Bavaria),24585,2722100.472,14336.09475156968,12875.080899856302,2694889.296348574,0.005266556065447712,0.004729833094807348,0.990003610839745
Niederbayern (Bavaria),5933,631816.287,4116.317225129498,4414.674046272158,623285.2957285984,0.006515053995639556,0.00698727484097313,0.9864976711633874
Oberpfalz (Bavaria),5190,571337.541,3285.2159599279407,3658.333440598839,564393.9915994732,0.005750043930559678,0.006403103556254566,0.9878468525131857
Oberfranken (Bavaria),4990,560498.698,3363.63318137394,3141.0380766271196,553994.026741999,0.006001143612601113,0.00560400601791785,0.9883948503694812
Mittelfranken (Bavaria),8582,968007.0380000001,6287.296659944734,5535.088947465823,956184.6523925895,0.006495093954001534,0.005718025520663438,0.987786880525335
Unterfranken (Bavaria),6469,689979.17,3955.1021543096394,3804.7241026019537,682219.3437430884,0.005732205153830426,0.005514259369021174,0.9887535354771484
Schwaben (Bavaria),8649,985553.305,5819.734707236788,5793.206787870698,973940.3635048926,0.00590504306333465,0.0058781262854886345,0.9882168306511767
Chemnitz (Saxony),6274,658787.662,4155.137160630883,5478.315042180895,649154.2097971882,0.006307247995532258,0.008315752340518021,0.9853769996639496
Dresden (Saxony),7435,774413.84,5220.731278063238,5138.624837078957,764054.4838848579,0.0067415263111300265,0.006635502326609965,0.9866229713622601
Leipzig (Saxony),4974,527806.407,3526.3880130440466,2998.041395665356,521281.9775912906,0.006681214866427429,0.005680191365440086,0.9876385937681325
NA,6057,696039.665,6527.941948787969,4451.997154005023,685059.725897207,0.009378692446770212,0.006396183116956449,0.9842251244362733
