"","EF517","n_obs","EF952_sum"
"1",100,3,484.309
"2",244,19,2422.96
"3",344,15,1772.045
"4",353,3,282.586
"5",354,86,9299.058
"6",453,8,892.537
"7",454,30,3369.412
"8",640,22,2418.626
"9",650,19,2126.526
"10",740,33,3831.785
"11",800,1,119.698
