"","EF44_binned","n_obs","EF952_sum"
"1","[15,20]",6,689.636
"2","(20,25]",19,1988.719
"3","(25,30]",25,3078.735
"4","(30,35]",16,2016.858
"5","(35,40]",31,3386.81
"6","(40,45]",27,2909.054
"7","(45,50]",30,3382.262
"8","(50,55]",22,2356.824
"9","(55,60]",31,3415.021
"10","(60,65]",24,2842.187
"11","(65,70]",5,534.739
"12","(85,90]",3,418.697
