"","EF540","n_obs","EF952_sum"
"1",10,3,484.309
"2",20,19,2422.96
"3",33,3,282.586
"4",34,101,11071.103
"5",40,38,4261.949
"6",60,41,4545.152
"7",70,33,3831.785
"8",80,1,119.698
