"","EF436","n_obs","EF952_sum"
"1",2,1,102.594
"2",3,6,804.449
"3",5,8,806.471
"4",6,16,1866.608
"5",7,41,4665.856
"6",8,12,1689.868
"7",10,13,1423.209
"8",11,59,6573.758
"9",12,24,2666.181
"10",13,15,1712.916
"11",14,9,792.522
"12",15,13,1503.197
"13",16,4,443.143
"14",17,6,702.92
"15",18,2,206.61
"16",20,2,218.469
"17",21,3,333.534
"18",22,2,233.494
"19",23,1,119.698
"20",NA,2,154.045
