EF541UG2,EF114,n_obs,EF952
12,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,200.04899999999998
12,Administrative occupations in the welfare and health care system-skilled tasks,11,1301.155
12,Occupations in housekeeping-unskilled/semiskilled tasks,1,87.148
21,Managers in fishing,1,61.291
21,Occupations in photographic technology-skilled tasks,2,190.151
21,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",3,307.045
21,Occupations in fruit juice production-complex tasks,7,827.616
21,Joiners-skilled tasks,6,611.866
21,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",2,191.736
21,Drivers of earthmoving and related machines-skilled tasks,1,82.465
21,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",1,91.584
21,Occupations in housekeeping-unskilled/semiskilled tasks,12,1338.792
21,Managers in museum,2,188.913
31,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",2,231.512
31,Technical occupations in maintenance of electric machines-skilled tasks,3,311.481
31,Occupations in fruit juice production-complex tasks,4,446.98
31,Joiners-skilled tasks,1,107.896
31,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",7,817.0509999999999
31,Drivers of earthmoving and related machines-skilled tasks,15,1742.012
31,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,293.345
31,Administrative occupations in the welfare and health care system-skilled tasks,10,1008.013
31,Occupations in housekeeping-unskilled/semiskilled tasks,5,471.764
31,Managers in museum,18,2001.403
32,Joiners-skilled tasks,1,93.446
32,Drivers of earthmoving and related machines-skilled tasks,1,88.23
32,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",6,736.767
32,Administrative occupations in the welfare and health care system-skilled tasks,24,2645.212
32,Occupations in housekeeping-unskilled/semiskilled tasks,33,3726.567
32,Managers in museum,1,162.978
42,Joiners-skilled tasks,2,263.992
42,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",7,784.048
42,Drivers of earthmoving and related machines-skilled tasks,13,1277.913
42,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",4,403.825
42,Administrative occupations in the welfare and health care system-skilled tasks,49,5301.812
42,Occupations in housekeeping-unskilled/semiskilled tasks,4,417.235
42,Managers in museum,3,298.619
61,Managers in fishing,2,164.176
61,Managers in floristry,2,255.546
61,Occupations in photographic technology-skilled tasks,2,187.781
61,Occupations in laser-assisted metalworking-highly complex tasks,4,456.945
61,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",7,749.162
61,Technical occupations in maintenance of electric machines-skilled tasks,6,597.1179999999999
61,Occupations in fruit juice production-complex tasks,6,622.8
61,Joiners-skilled tasks,9,1323.815
61,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",3,347.377
61,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",32,3370.823
61,Occupations in housekeeping-unskilled/semiskilled tasks,2,176.058
75,Managers in floristry,2,186.92700000000002
75,Occupations in photographic technology-skilled tasks,2,153.268
75,Occupations in fruit juice production-complex tasks,4,390.063
75,Joiners-skilled tasks,4,595.737
81,Supervisors in plastic- and rubber-making and -processing,2,200.95
81,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",3,344.315
81,Occupations in fruit juice production-complex tasks,1,157.612
81,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",2,171.579
81,Drivers of earthmoving and related machines-skilled tasks,14,1571.8609999999999
81,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",1,97.183
93,Managers in floristry,3,549.333
93,Occupations in photographic technology-skilled tasks,1,108.642
93,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",1,104.783
93,Joiners-skilled tasks,2,225.114
93,Drivers of earthmoving and related machines-skilled tasks,9,996.181
93,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",15,1598.071
93,Occupations in housekeeping-unskilled/semiskilled tasks,1,91.547
94,Joiners-skilled tasks,3,372.973
94,Administrative occupations in the welfare and health care system-skilled tasks,1,111.033
