EF137UG1,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Mining support service activities,7,628.308,0,30.95844444444444,597.3495555555555,0,0.0492727204562801,0.9507272795437198
"Manufacture of motor vehicles, trailers and semi-trailers",65,6928.518,0,572.276,6356.242,0,0.08259717301737543,0.9174028269826245
Remediation activities and other waste management services,8,726.45,0,125.57722222222222,600.8727777777777,0,0.17286423321938496,0.827135766780615
"Creative, arts and entertainment activities",322,36019.201,0,1007.836,35011.365,0,0.027980520722822252,0.9720194792771777
Repair of computers and personal and household goods,4,437.466,0,0,437.466,0,0,1
Other personal service activities,6,650.742,0,0,650.742,0,0,1
