"","share_type","EF442","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"51","share_neutral","300 to < 500",24,2710.633,0.99537037037037,0.995448664573921,0.0226804605813257,0.0225131874752481,1,1,1,1,1,1
"52","share_neutral","500 to < 700",16,1650.43,0.986111111111111,0.988209200699885,0.0379516695035541,0.0354255274256999,1,1,1,1,1,1
"53","share_neutral","700 to < 900",22,2468.537,1,1,0,0,1,1,1,1,1,1
"54","share_neutral","900 to < 1,100",17,1870.573,0.980392156862745,0.980727474059197,0.0436614026662987,0.043439208801115,1,1,1,1,1,1
"55","share_neutral","1,100 to < 1,300",28,3073.679,0.992063492063492,0.992863926259053,0.0291405849062757,0.0277975249288725,1,1,1,1,1,1
"56","share_neutral","1,300 to < 1,500",25,2871.516,0.986666666666667,0.986831114064255,0.0368513865595045,0.0367029004257053,1,1,1,1,1,1
"57","share_neutral","1,500 to < 1,700",36,3804.637,0.975308641975309,0.973591114678687,0.0468485579284205,0.0480079816805105,1,1,1,1,1,1
"58","share_neutral","1,700 to < 2,000",45,4981.553,0.980246913580247,0.981370468205397,0.0429606408289201,0.0420164875231313,1,1,1,1,1,1
"59","share_neutral","2,000 to < 2,300",47,4958.416,0.976359338061466,0.973522391021649,0.0459653432701889,0.0478900744375701,1,1,1,1,1,1
"60","share_neutral","2,300 to < 2,600",28,2919.647,0.988095238095238,0.989395064997013,0.0349967104638174,0.0332610766924829,1,1,1,1,1,1
"61","share_neutral","2,600 to < 2,900",20,2415.531,0.994444444444444,0.995414166813747,0.0248451997499977,0.022722947978659,1,1,1,1,1,1
"62","share_neutral","2,900 to < 3,200",16,1550.298,0.993055555555556,0.995455999068853,0.0277777777777778,0.0227661511450162,1,1,1,1,1,1
"63","share_neutral","3,200 to < 3,600",17,1975.566,0.980392156862745,0.979910961100656,0.0436614026662987,0.0441578895750151,1,1,1,1,1,1
"64","share_neutral","3,600 to < 4,000",6,555.94,0.981481481481482,0.980274250218848,0.0453609211626515,0.0466078379809244,1,1,1,1,1,1
"65","share_neutral","4,000 to < 4,500",7,788.698,0.968253968253968,0.962864817148713,0.054216670719363,0.0567509954082536,1,0.944444444444444,1,1,0.944444444444444,1
"66","share_neutral","4,500 to < 5,000",2,231.836,1,1,0,0,1,1,1,1,1,1
"67","share_neutral","5,000 to < 5,500",3,314.03,0.962962962962963,0.960314831916271,0.0641500299099585,0.0655399746338274,1,0.944444444444444,1,1,0.944444444444444,1
"68","share_neutral","5,500 to < 6,000",2,173.599,1,1,0,0,1,1,1,1,1,1
"69","share_neutral","6,000 to < 7,500",6,759.366,1,1,0,1.23360580850652e-16,1,1,1,1,1,1
"70","share_neutral","7,500 to < 10,000",1,111.128,1,1,NA,NA,1,1,1,1,1,1
"71","share_neutral","10,000 to < 18,000",1,119.698,1,1,NA,NA,1,1,1,1,1,1
"72","share_neutral",NA,41,4854.244,0.989159891598916,0.990482738174861,0.0333784698920372,0.0315474633710907,1,1,1,1,1,1
