EF137UG1,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Mining support service activities,7,628.308,0,15.47922222222222,612.8287777777778,0,0.02463636022814005,0.9753636397718599
"Manufacture of motor vehicles, trailers and semi-trailers",65,6928.518,0,109.517,6819.001,0,0.015806699210422777,0.9841933007895772
Remediation activities and other waste management services,8,726.45,0,10.93711111111111,715.5128888888888,0,0.015055559379325636,0.9849444406206742
"Creative, arts and entertainment activities",322,36019.201,0,503.918,35515.283,0,0.013990260361411126,0.986009739638589
Repair of computers and personal and household goods,4,437.466,0,0,437.466,0,0,1
Other personal service activities,6,650.742,0,0,650.742,0,0,1
