"","share_type","EF46","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","Male",204656,22944471.767,0.0101782201543448,0.0100644599946395,0.0491726841861208,0.0486972583331045,0,0,0,0,0,0
"2","share_brown","Female",182919,19976172.837,0.000702974293851726,0.000700132023377605,0.00999294466827082,0.0100255225056978,0,0,0,0,0,0
"3","share_green","Male",204656,22944471.767,0.00965417130416567,0.00955045896421834,0.0622469464388769,0.0620397635427629,0,0,0,0,0,0
"4","share_green","Female",182919,19976172.837,0.00196874962363643,0.00198209253788589,0.0328288158432749,0.0332276617706092,0,0,0,0,0,0
"5","share_neutral","Male",204656,22944471.767,0.98016760854149,0.980385081041142,0.0806063726374351,0.0801231626356576,1,1,1,1,1,1
"6","share_neutral","Female",182919,19976172.837,0.997328276082512,0.997317775438736,0.034624590861245,0.0349921726580474,1,1,1,1,1,1
