Variable;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;Test;;;;;;
category_rel;brown;;;green;;;neutral;;;;;;;;;
EF540;18122;;;12359;;;356685;;;;;;;;;
... ISCED 1 ECE (000);;;;;;;;;;;;;;;;
... ISCED 1 PE (100);;;;;;;;;;;;;;;;
... ISCED 2 LSE (200);2347;13.2%;;1354;11.4%;;33763;9.8%;;;;;;;;
... ISCED 3 USE (300);0;0%;;0;0%;;0;0%;;;;;;;;
... ISCED 3 USE (302);0;0%;;0;0%;;0;0%;;;;;;;;
... ISCED 3 USE (303);;;;;;;;;;;;;;;;
... ISCED 3 USE (304);10767;59%;;5490;43.8%;;154244;42.8%;;;;;;;;
... ISCED 4 PSNTE (400);796;4.6%;;612;5.2%;;47968;13.4%;;;;;;;;
... ISCED 5 SCTE (500);;;;;;;;;;;;;;;;
... ISCED 6 Bachelor (600);2621;14.2%;;2590;20.6%;;58471;16.3%;;;;;;;;
... ISCED 7 Master (700);1078;6%;;1798;14.6%;;43706;12.3%;;;;;;;;
... ISCED 8 Doctoral (800);104;0.5%;;258;2.1%;;5971;1.7%;;;;;;;;
EF436;17876;;;12189;;;351186;;;F=99.294***;;;;;;
... < 150;21;0.1%;;20;0.2%;;1988;0.6%;;;;;;;;
... 150 to < 300;24;0.1%;;21;0.2%;;3503;1%;;;;;;;;
... 300 to < 500;;;;;;;;;;;;;;;;
... 500 to < 700;498;2.8%;;212;1.8%;;12914;3.7%;;;;;;;;
... 700 to < 900;;;;;;;;;;;;;;;;
... 900 to < 1;100;381;2.1%;;322;2.7%;;22761;6.5%;;;;;;;
... 1;100 to < 1;300;772;4.5%;;524;4.4%;;27131;7.8%;;;;;;
... 1;300 to < 1;500;1271;7.2%;;713;6%;;28024;8.1%;;;;;;
... 1;500 to < 1;700;1691;9.6%;;1064;8.7%;;29009;8.3%;;;;;;
... 1;700 to < 2;0;2713;15.2%;;1923;16.1%;;41920;12%;;;;;;
... 2;000 to < 2;300;2741;15.3%;;1805;14.9%;;36783;10.5%;;;;;;
... 2;300 to < 2;600;2135;11.9%;;1360;10.9%;;27854;7.9%;;;;;;
... 2;600 to < 2;900;1281;7.1%;;799;6.5%;;17189;4.9%;;;;;;
... 2;900 to < 3;200;1054;5.8%;;698;5.7%;;15874;4.5%;;;;;;
... 3;200 to < 3;600;835;4.6%;;678;5.5%;;13439;3.8%;;;;;;
... 3;600 to < 4;0;492;2.7%;;417;3.4%;;8888;2.5%;;;;;;
... 4;000 to < 4;500;432;2.3%;;411;3.3%;;8032;2.2%;;;;;;
... 4;500 to < 5;0;290;1.5%;;268;2.1%;;5229;1.5%;;;;;;
... 5;000 to < 5;500;216;1.2%;;148;1.2%;;3794;1.1%;;;;;;
... 5;500 to < 6;0;110;0.6%;;104;0.8%;;2498;0.7%;;;;;;
... 6;000 to < 7;500;;;;;;;;;;;;;;
... 7;500 to < 10;0;;;;;;;;;;;;;;
... 10;000 to < 18;0;25;0.1%;;32;0.3%;;1708;0.5%;;;;;;
... > 18;0;16;0.1%;;16;0.1%;;757;0.2%;;;;;;;
... Farmer (self-employed; main job);0;0%;;6;0%;;1429;0.4%;;;;;;;
EF436_num;17876;2.289.962;1.282.393;12183;2.428.556;1.473.819;349757;2.123.663;1.706.688;F=266.675***;;;;;;
EF442;17018;;;11332;;;314558;;;F=104.45***;;;;;;
... < 150;41;0.2%;;30;0.3%;;2364;0.7%;;;;;;;;
