,green,brown,neutral
green,0.8482758620689655,0.034482758620689655,0.11724137931034483
brown,0.007575757575757576,0.5833333333333334,0.4090909090909091
neutral,0.09722222222222222,0.09722222222222222,0.8055555555555556
