,green,brown,neutral
green,0.8666666666666667,0.037037037037037035,0.0962962962962963
brown,0.02631578947368421,0.8421052631578947,0.13157894736842105
neutral,0.06363636363636363,0.2636363636363636,0.6727272727272727
