EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
2165,143,15.190.092,0,0,0.243644031,0.244755245,0.756355969,0.755244755,0,0,0,0,1,1,0,0,0.974576125,0.979020979,0.025423875,0.020979021
2166,1133,127.885.278,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2211,1898,213.488.764,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2212,1853,204.242.012,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2221,146,15.607.546,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2222,212,23.053.321,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2230,331,35.156.031,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2240,7,863.845,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2250,326,34.665.172,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2261,699,75897.72,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2262,641,71.029.175,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2263,101,11.237.457,0.106123921,0.108910891,0,0,0.893876079,0.891089109,0.106123921,0.108910891,0,0,0.893876079,0.891089109,0.106123921,0.108910891,0,0,0.893876079,0.891089109
2264,1856,201.827.103,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2265,175,19.049.717,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2266,296,32391.17,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2267,23,2.569.428,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2269,822,88.366.575,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2310,2982,339707.52,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2320,2936,318.300.219,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2330,4355,467.381.545,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2341,2007,214.930.522,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2351,629,66.901.099,0.061733945,0.061261261,0,0,0.938266055,0.938738739,0,0,0,0,1,1,0.926009168,0.918918919,0,0,0.073990832,0.081081081
2352,957,102.824.373,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2353,238,28083.47,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2354,549,61.652.186,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
