Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
"... 3,600 to < 4,000",585,2023%,,,377,3211%,,,7405,2389%,,,
"... 4,000 to < 4,500",442,1514%,,,368,3199%,,,6421,2067%,,,
"... 4,500 to < 5,000",279,0.94%,,,223,1893%,,,4060,1313%,,,
"... 5,000 to < 5,500",193,0.64%,,,129,1131%,,,2757,0.89%,,,
"... 5,500 to < 6,000",111,0.39%,,,88,0.76%,,,1819,0.58%,,,
"... 6,000 to < 7,500",100,0.33%,,,94,0.79%,,,2328,0.75%,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",,,,,,,,,,,,,
EF442_num,28349,211.599.287,105.768.618,6.696.749.503.675,11332,232.926.734,121.967.043,2922384637,303227,199.005.664,144.346.624,66.843.024.521.675,F=401.816***
EF114UG4,30428,,,,12377,,,,344770,,,,
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,243,1913%,,,7678,2198%,,,
"... Occupations in production of raw materials and goods, and manufacturing",22707,74682%,,,3773,30107%,,,46667,13686%,,,
"... Occupations in construction, architecture, surveying and technical building services",5521,18152%,,,790,6426%,,,16893,4999%,,,
"... Occupations in natural sciences, geography and informatics",1095,3533%,,,1636,13.26%,,,12530,3665%,,,
"... Occupations in traffic, logistics, safety and security",867,2872%,,,5235,42798%,,,42830,12706%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,51,0.40%,,,46263,13494%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,71,0.57%,,,81756,23.20%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,22214%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",238,0.76%,,,578,4.53%,,,11318,3.34%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.50%,,,
