EF541UG3,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
0,1440,190071.297,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
1,19688,2154348.532,0.0%,0.0%,0.1%,0.1%,99.9%,99.9%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.1%,0.1%,99.9%,99.9%
2,71540,7892929.219,1.1%,1.1%,0.6%,0.6%,98.3%,98.3%,0.7%,0.7%,0.1%,0.1%,99.3%,99.3%,5.4%,5.4%,3.9%,3.9%,90.7%,90.6%
3,90573,9889307.395,0.6%,0.6%,0.6%,0.6%,98.8%,98.8%,0.6%,0.6%,0.1%,0.1%,99.3%,99.3%,1.8%,1.9%,2.2%,2.2%,95.9%,95.9%
4,48435,5280109.593,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
5,53578,5957147.201,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
6,5016,543904.37,0.1%,0.1%,0.0%,0.0%,99.9%,99.9%,0.2%,0.2%,0.0%,0.0%,99.8%,99.8%,0.2%,0.2%,0.0%,0.0%,99.8%,99.8%
7,45714,5133178.621,0.4%,0.4%,14.3%,14.4%,85.4%,85.2%,0.1%,0.1%,11.3%,11.5%,88.6%,88.5%,2.4%,2.5%,37.4%,37.5%,60.2%,60.0%
8,22849,2561492.215,2.0%,2.0%,16.5%,16.6%,81.5%,81.3%,0.0%,0.0%,12.8%,13.0%,87.2%,87.0%,22.4%,22.5%,36.2%,36.4%,41.4%,41.1%
NA,28742,3318156.161,1.2%,1.2%,0.5%,0.4%,98.4%,98.4%,1.7%,1.8%,0.5%,0.4%,97.8%,97.8%,1.7%,1.8%,0.5%,0.4%,97.8%,97.8%
