Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_abs,brown,,,,green,,,,neutral,,,,
"... 4,000 to < 4,500",72,0.86%,,,42,2813%,,,7117,2084%,,,
"... 4,500 to < 5,000",34,0.41%,,,42,2917%,,,4486,1316%,,,
"... 5,000 to < 5,500",15,0.16%,,,19,1319%,,,3045,0.89%,,,
"... 5,500 to < 6,000",9,0.12%,,,12,0.77%,,,1997,0.58%,,,
"... 6,000 to < 7,500",6,0.06%,,,17,1224%,,,2499,0.73%,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",,,,,,,,,,,,,
EF442_num,8170,209.734.089,8.514.526,1.893.032.846.425,1388,241.399.569,136.849.296,373.416.633.325,333350,200.796.539,142.080.788,74195709182,F=73.021***
EF114UG4,8533,,,,1556,,,,377486,,,,
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,131,8.21%,,,7790,2035%,,,
"... Occupations in production of raw materials and goods, and manufacturing",6040,70673%,,,486,31002%,,,66621,17817%,,,
"... Occupations in construction, architecture, surveying and technical building services",1401,16526%,,,536,35127%,,,21267,5728%,,,
"... Occupations in natural sciences, geography and informatics",916,10597%,,,403,25661%,,,13942,3721%,,,
"... Occupations in traffic, logistics, safety and security",113,1498%,,,0,0%,,,48819,13198%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,0,0%,,,46314,12.33%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,0,0%,,,81827,21196%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,20277%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",63,0.71%,,,0,0%,,,12071,3243%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.46%,,,
