EF189,n_obs,EF952_sum,EF952_share_green_esco,EF952_share_brown_esco,EF952_share_green_esco_ess,EF952_share_brown_esco_ess,EF952_share_green_gtp,EF952_share_green_vona2018,EF952_share_green_jrc,EF952_share_brown_vona2018
"Schleswig-Holstein, Hamburg, Bremen, Saarland, Berlin, Mecklenburg-Western Pomerania, Saxony-Anhalt, Thuringia, Brandenburg",83,8469.084,NA,NA,NA,NA,NA,NA,NA,NA
Braunschweig (Lower Saxony),7,733.499,NA,NA,NA,NA,NA,NA,NA,NA
Hannover (Lower Saxony),10,1092.635,NA,NA,NA,NA,NA,NA,NA,NA
Lueneburg (Lower Saxony),12,1285.684,NA,NA,NA,NA,NA,NA,NA,NA
Weser-Ems (Lower Saxony),13,1325.532,NA,NA,NA,NA,NA,NA,NA,NA
Duesseldorf (North Rhine-Westphalia),29,3744.948,NA,NA,NA,NA,NA,NA,NA,NA
Koeln (North Rhine-Westphalia),33,3739.679,NA,NA,NA,NA,NA,NA,NA,NA
Muenster (North Rhine-Westphalia),12,1504.708,NA,NA,NA,NA,NA,NA,NA,NA
Detmold (North Rhine-Westphalia),5,521.016,NA,NA,NA,NA,NA,NA,NA,NA
Arnsberg (North Rhine-Westphalia),10,1097.711,NA,NA,NA,NA,NA,NA,NA,NA
Darmstadt (Hessen),27,2970.691,NA,NA,NA,NA,NA,NA,NA,NA
Gießen (Hessen),9,1028.234,NA,NA,NA,NA,NA,NA,NA,NA
Kassel (Hessen),5,486.851,NA,NA,NA,NA,NA,NA,NA,NA
Region Koblenz (Rhineland-Palatinate),10,1174.87,NA,NA,NA,NA,NA,NA,NA,NA
Region Trier (Rhineland-Palatinate),2,289.068,8.771228125,5.9511642361111114,4.633370689655172,9.843791208791208,0,0,5.971900000000001,19.906333333333333
Region Rheinhessen-Pfalz (Rhineland-Palatinate),10,1057.337,NA,NA,NA,NA,NA,NA,NA,NA
Stuttgart (Baden-Wuerttemberg),22,2296.245,NA,NA,NA,NA,NA,NA,NA,NA
Karlsruhe (Baden-Wuerttemberg),10,808.748,NA,NA,NA,NA,NA,NA,NA,NA
Freiburg (Baden-Wuerttemberg),11,1028.427,NA,NA,NA,NA,NA,NA,NA,NA
Tuebingen (Baden-Wuerttemberg),14,1450.484,NA,NA,NA,NA,NA,NA,NA,NA
Oberbayern (Bavaria),15,1769.088,NA,NA,NA,NA,NA,NA,NA,NA
Niederbayern (Bavaria),6,1215.442,56.787351274771375,4.832416666666667,95.89170726735135,5.947589743589744,0,0,0,69.58680000000001
Oberpfalz (Bavaria),1,105.486,9.30758823529412,0,15.069428571428565,0,0,0,0,0
Oberfranken (Bavaria),6,687.711,NA,NA,NA,NA,NA,NA,NA,NA
Mittelfranken (Bavaria),10,1109.769,NA,NA,NA,NA,NA,NA,NA,NA
Unterfranken (Bavaria),14,1514.993,NA,NA,NA,NA,NA,NA,NA,NA
Schwaben (Bavaria),8,897.692,NA,NA,NA,NA,NA,NA,NA,NA
Chemnitz (Saxony),7,753.707,NA,NA,NA,NA,NA,NA,NA,NA
Dresden (Saxony),3,240.381,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig (Saxony),3,341.971,14.609297459968708,3.586138888888889,26.584654118684504,4.4137094017094025,0,0,0,51.6404
NA,5,648.994,NA,NA,NA,NA,NA,NA,NA,NA
