EF564,n_obs,EF952_sum,EF952_share_green_esco,EF952_share_brown_esco,EF952_share_green_esco_ess,EF952_share_brown_esco_ess,EF952_share_green_gtp,EF952_share_green_vona2018,EF952_share_green_jrc,EF952_share_brown_vona2018
920,2,231.13,0.04411764705882353,0,0.0714285714285714,0,0,0,0,0
921,5,430.65,NA,NA,NA,NA,NA,NA,NA,NA
922,1,117.128,0,0,0,0,0,0,0,0
1001,9,864.479,NA,NA,NA,NA,NA,NA,NA,NA
1101,1,124.672,NA,NA,NA,NA,NA,NA,NA,NA
1103,1,100,0,0,0,0,0,0,0,0
1104,1,105.884,NA,NA,NA,NA,NA,NA,NA,NA
1106,3,351.828,0.029411764705882356,0,0.0476190476190476,0,0,0,0,0
1109,2,213.558,NA,NA,NA,NA,NA,NA,NA,NA
1110,4,517.788,NA,NA,NA,NA,NA,NA,NA,NA
1111,1,170.682,NA,NA,NA,NA,NA,NA,NA,NA
1112,3,312.168,NA,NA,NA,NA,NA,NA,NA,NA
1201,2,206.548,NA,NA,NA,NA,NA,NA,NA,NA
1202,3,318.789,NA,NA,NA,NA,NA,NA,NA,NA
1204,4,399.993,NA,NA,NA,NA,NA,NA,NA,NA
1205,2,216.812,NA,NA,NA,NA,NA,NA,NA,NA
1302,2,167.914,NA,NA,NA,NA,NA,NA,NA,NA
1303,1,68.656,NA,NA,NA,NA,NA,NA,NA,NA
1304,3,282.89099999999996,NA,NA,NA,NA,NA,NA,NA,NA
1411,2,244.25,NA,NA,NA,NA,NA,NA,NA,NA
1412,5,509.457,NA,NA,NA,NA,NA,NA,NA,NA
1414,2,121.188,NA,NA,NA,NA,NA,NA,NA,NA
1415,1,119.193,NA,NA,NA,NA,NA,NA,NA,NA
1416,2,234.075,0.021741160593190475,0.015320469460168277,0.047723763037360784,0.018855962412514804,0,0,0,0.22061476022642315
1417,1,107.896,0.08823529411764706,0,0.1428571428571428,0,0,0,0,0
1501,2,228.032,NA,NA,NA,NA,NA,NA,NA,NA
1503,1,87.148,NA,NA,NA,NA,NA,NA,NA,NA
1504,3,288.96,NA,NA,NA,NA,NA,NA,NA,NA
1505,1,137.587,0.03941923118992928,0.02777777777777778,0.08652868554829339,0.03418803418803419,0,0,0,0.4
1601,3,186.47899999999998,NA,NA,NA,NA,NA,NA,NA,NA
1602,5,640.743,NA,NA,NA,NA,NA,NA,NA,NA
1603,5,409.516,NA,NA,NA,NA,NA,NA,NA,NA
1604,3,285.176,NA,NA,NA,NA,NA,NA,NA,NA
