EF564,n_obs,EF952_sum,share_green,share_brown,share_neutral,share_green_cat_abs,share_brown_cat_abs,share_neutral_cat_abs,share_green_cat_rel,share_brown_cat_rel,share_neutral_cat_rel
102,4,390.148,0,0,1,0,0,1,0,0,1
104,2,193.139,0,0,1,0,0,1,0,0,1
105,1,109.115,0,0,1,0,0,1,0,0,1
202,1,195.808,0,0,1,0,0,1,0,0,1
203,2,229.358,0,0,1,0,0,1,0,0,1
205,4,364.64300000000003,0,0,1,0,0,1,0,0,1
206,3,282.374,0,0,1,0,0,1,0,0,1
301,4,440.992,0,0.027975564182570203,0.9720244358174297,0,0,1,0,0.2517800776431318,0.7482199223568681
302,4,392.574,0,0,1,0,0,1,0,0,1
303,4,403.987,0,0,1,0,0,1,0,0,1
304,2,186.563,0,0.04195484754330828,0.9580451524566918,0,0,1,0,0.37759362788977446,0.6224063721102255
305,1,129.952,0,0.1111111111111111,0.8888888888888888,0,0,1,0,1,0
306,1,96.374,0,0,1,0,0,1,0,0,1
307,10,1102.094,0,0.024991012059265762,0.9750089879407342,0,0,1,0,0.2249191085333919,0.7750808914666081
308,3,292.159,0,0.03606940056613008,0.9639305994338698,0,0,1,0,0.32462460509517077,0.6753753949048292
309,3,300.1,0,0.0364448887407901,0.9635551112592097,0,0,1,0,0.32800399866711094,0.671996001332889
310,4,382.923,0,0,1,0,0,1,0,0,1
311,9,982.659,0,0.027152857705470566,0.9728471422945294,0,0,1,0,0.2443757193492351,0.7556242806507649
401,6,594.011,0,0.01733488287440992,0.9826651171255902,0,0,1,0,0.1560139458696893,0.8439860541303107
501,4,516.432,0,0,1,0,0,1,0,0,1
502,1,115.009,0,0,1,0,0,1,0,0,1
503,2,214.484,0,0,1,0,0,1,0,0,1
505,2,260.12,0,0,1,0,0,1,0,0,1
506,3,549.333,0,0,1,0,0,1,0,0,1
507,4,421.046,0,0,1,0,0,1,0,0,1
508,5,583.8430000000001,0,0,1,0,0,1,0,0,1
509,3,455.76599999999996,0,0.03703703703703704,0.962962962962963,0,0,1,0,0.33333333333333337,0.6666666666666667
510,1,119.239,0,0,1,0,0,1,0,0,1
513,7,831.4209999999999,0,0.020717809896817884,0.9792821901031821,0,0,1,0,0.18646028907136095,0.8135397109286391
514,4,489.989,0,0,1,0,0,1,0,0,1
515,13,1306.856,0,0.01523206161284113,0.9847679383871588,0,0,1,0,0.1370885545155702,0.8629114454844298
516,7,878.712,0,0.01495054377568785,0.9850494562243122,0,0,1,0,0.13455489398119067,0.8654451060188093
517,3,403.63,0,0,1,0,0,1,0,0,1
518,4,471.817,0,0.028947664030757686,0.9710523359692422,0,0,1,0,0.2605289762768192,0.7394710237231807
519,3,381.246,0,0,1,0,0,1,0,0,1
520,2,167.18,0,0,1,0,0,1,0,0,1
521,6,890.436,0,0.02241760715474716,0.9775823928452527,0,0,1,0,0.20175846439272443,0.7982415356072755
524,2,199.641,0,0.055485707956893726,0.9445142920431063,0,0,1,0,0.4993713716120436,0.5006286283879564
526,1,131.12,0,0,1,0,0,1,0,0,1
528,3,322.64,0,0,1,0,0,1,0,0,1
529,5,474.461,0,0,1,0,0,1,0,0,1
532,1,114.813,0,0.1111111111111111,0.8888888888888888,0,0,1,0,1,0
533,3,406.84800000000007,0,0,1,0,0,1,0,0,1
601,8,797.525,0,0,1,0,0,1,0,0,1
602,6,742.692,0,0,1,0,0,1,0,0,1
603,1,113.503,0,0,1,0,0,1,0,0,1
605,7,700.216,0,0.014678962555046506,0.9853210374449534,0,0,1,0,0.13211066299541854,0.8678893370045815
606,3,414.834,0,0,1,0,0,1,0,0,1
607,9,1025.334,0,0.012154413423658372,0.9878455865763416,0,0,1,0,0.10938972081292535,0.8906102791870746
