Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
"... 2,600 to < 2,900",1973,6.93%,,,728,6.46%,,,14961,4.90%,,,
"... 2,900 to < 3,200",1456,5.02%,,,629,5.50%,,,13061,4.25%,,,
"... 3,200 to < 3,600",1057,3.64%,,,615,5.41%,,,11495,3.72%,,,
"... 3,600 to < 4,000",585,2.02%,,,377,3.21%,,,7405,2.39%,,,
"... 4,000 to < 4,500",442,1.51%,,,368,3.20%,,,6421,2.07%,,,
"... 4,500 to < 5,000",279,0.94%,,,223,1.89%,,,4060,1.31%,,,
"... 5,000 to < 5,500",193,0.64%,,,129,1.13%,,,2757,0.89%,,,
"... 5,500 to < 6,000",111,0.39%,,,88,0.76%,,,1819,0.58%,,,
"... 6,000 to < 7,500",100,0.33%,,,94,0.79%,,,2328,0.75%,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",,,,,,,,,,,,,
EF442_num,28349,2115.99287,1057.68618,6696749504,11332,2329.26734,1219.67043,2922384637,303227,1990.05664,1443.46624,66843024522,F=401.816***
EF114UG4,30428,,,,12377,,,,344770,,,,
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,243,1.91%,,,7678,2.20%,,,
"... Occupations in production of raw materials and goods, and manufacturing",22707,74.68%,,,3773,30.11%,,,46667,13.69%,,,
"... Occupations in construction, architecture, surveying and technical building services",5521,18.15%,,,790,6.43%,,,16893,5.00%,,,
"... Occupations in natural sciences, geography and informatics",1095,3.53%,,,1636,13.26%,,,12530,3.67%,,,
"... Occupations in traffic, logistics, safety and security",867,2.87%,,,5235,42.80%,,,42830,12.71%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,51,0.40%,,,46263,13.49%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,71,0.57%,,,81756,23.20%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,22.21%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",238,0.76%,,,578,4.53%,,,11318,3.34%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.50%,,,
