Variable,N,Wt. Mean,Wt. SD,N,Wt. Mean,Wt. SD,N,Wt. Mean,Wt. SD,Test
category_rel,brown,,,green,,,neutral,,,
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,243,1.90%,,7678,2.20%,,
"... Occupations in production of raw materials and goods, and manufacturing",22707,74.70%,,3773,30.10%,,46667,13.70%,,
"... Occupations in construction, architecture, surveying and technical building services",5521,18.20%,,790,6.40%,,16893,5%,,
"... Occupations in natural sciences,  geography and informatics",1095,3.50%,,1636,13.30%,,12530,3.70%,,
"... Occupations in traffic, logistics, safety and security",867,2.90%,,5235,42.80%,,42830,12.70%,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,51,0.40%,,46263,13.50%,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,71,0.60%,,81756,23.20%,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,0,0%,,77395,22.20%,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",238,0.80%,,578,4.50%,,11318,3.30%,,
... Military occupations,0,0%,,0,0%,,1440,0.50%,,
EF137UG1,30428,,,12377,,,344770,,,
