Variable,N,Mean,SD,N,Mean,SD,N,Mean,SD,Test,,,,,,
category_rel,brown,,,green,,,neutral,,,,,,,,,
... 1,300 to < 1,500,2220,7.80%,,659,5.80%,,24386,8%,,,,,,
... 1,500 to < 1,700,2946,10.40%,,1028,9.10%,,25081,8.30%,,,,,,
... 1,700 to < 2,0,4755,16.80%,,1821,16.10%,,35812,11.80%,,,,,,
... 2,000 to < 2,300,4497,15.90%,,1747,15.40%,,31506,10.40%,,,,,,
... 2,300 to < 2,600,3372,11.90%,,1287,11.40%,,23831,7.90%,,,,,,
... 2,600 to < 2,900,1973,7%,,728,6.40%,,14961,4.90%,,,,,,
... 2,900 to < 3,200,1456,5.10%,,629,5.60%,,13061,4.30%,,,,,,
... 3,200 to < 3,600,1057,3.70%,,615,5.40%,,11495,3.80%,,,,,,
... 3,600 to < 4,0,585,2.10%,,377,3.30%,,7405,2.40%,,,,,,
... 4,000 to < 4,500,442,1.60%,,368,3.20%,,6421,2.10%,,,,,,
... 4,500 to < 5,0,279,1%,,223,2%,,4060,1.30%,,,,,,
... 5,000 to < 5,500,193,0.70%,,129,1.10%,,2757,0.90%,,,,,,
... 5,500 to < 6,0,111,0.40%,,88,0.80%,,1819,0.60%,,,,,,
... 6,000 to < 7,500,100,0.40%,,94,0.80%,,2328,0.80%,,,,,,
... 7,500 to < 10,0,53,0.20%,,38,0.30%,,1495,0.50%,,,,,,
... 10,000 to < 18,0,23,0.10%,,7,0.10%,,733,0.20%,,,,,,
... > 18,0,8,0%,,4,0%,,247,0.10%,,,,,,,
EF442_num,28349,2128.7,1068.74,11332,2.340.079,1.227.351,303227,2.001.669,1.456.185,F=394.683***,,,,,,
EF114UG4,30428,,,12377,,,344770,,,X2=104900.487***,,,,,,
... Occupations in agriculture, forestry, farming, and gardening,0,0%,,243,2%,,7678,2.20%,,,,,
... Occupations in production of raw materials and goods, and manufacturing,22707,74.60%,,3773,30.50%,,46667,13.50%,,,,,,,
... Occupations in construction, architecture, surveying and technical building services,5521,18.10%,,790,6.40%,,16893,4.90%,,,,,,
... Occupations in natural sciences, geography and informatics,1095,3.60%,,1636,13.20%,,12530,3.60%,,,,,,,
... Occupations in traffic, logistics, safety and security,867,2.80%,,5235,42.30%,,42830,12.40%,,,,,,
... Occupations in commercial services, trading, sales, the hotel business and tourism,0,0%,,51,0.40%,,46263,13.40%,,,,,
... Occupations in business organisation, accounting, law and administration,0,0%,,71,0.60%,,81756,23.70%,,,,,,
... Occupations in health care, the social sector, teaching and education,0,0%,,0,0%,,77395,22.40%,,,,,,
... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design,238,0.80%,,578,4.70%,,11318,3.30%
... Military occupations,0,0%,,0,0%,,1440,0.40%,,,,,,,,
EF137UG1,30428,,,12377,,,344770,,,X2=101915.317***,,,,,,
... Crop and animal production,,,,,,,,,,,,,,,,
... Forestry and logging,,,,,,,,,,,,,,,,
... Fishing and aquaculture,,,,,,,,,,,,,,,,
... Mining of coal and lignite,,,,,,,,,,,,,,,,
... Extraction of crude petroleum and natural gas,,,,,,,,,,,,,,,,
... Mining of metal ores,,,,,,,,,,,,,,,,
... Other mining and quarrying,,,,,,,,,,,,,,,,
... Mining support service activities,,,,,,,,,,,,,,,,
... Manufacture of food products,,,,,,,,,,,,,,,,
... Manufacture of beverages,,,,,,,,,,,,,,,,
... Manufacture of tobacco products,,,,,,,,,,,,,,,,
... Manufacture of textiles,,,,,,,,,,,,,,,,
... Manufacture of wearing apparel,,,,,,,,,,,,,,,,
... Manufacture of leather and related products,,,,,,,,,,,,,,,,
... Manufacture of wood and of products of wood and cork,,,,,,,,,,,,,,,,
... Manufacture of paper and paper products,,,,,,,,,,,,,,,,
... Printing and reproduction of recorded media,,,,,,,,,,,,,,,,
... Manufacture of coke and refined petroleum products,,,,,,,,,,,,,,,,
... Manufacture of chemicals and chemical products,,,,,,,,,,,,,,,,
... Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,,,,,,,,,,,,,,
... Manufacture of rubber and plastic products,,,,,,,,,,,,,,,,
... Manufacture of other non-metallic mineral products,,,,,,,,,,,,,,,,
... Manufacture of basic metals,,,,,,,,,,,,,,,,
... Manufacture of fabricated metal products,,,,,,,,,,,,,,,,
... Manufacture of computer,,,,,,,,,,,,,,,,
