Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
"... 5,500 to < 6,000",,,,,,,,,,,,,
"... 6,000 to < 7,500",,,,,,,,,,,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",5,0.03%,,,4,0.04%,,,250,0.08%,,,
EF442_num,17018,22.402.997,116.804.166,4.253.276.907.925,11332,232.926.734,121.967.043,2922384637,314558,198.786.102,142.589.816,69.286.497.117.425,F=558.933***
EF114UG4,18134,,,,12377,,,,357064,,,,
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,243,1913%,,,7678,2122%,,,
"... Occupations in production of raw materials and goods, and manufacturing",13074,72279%,,,3773,30107%,,,56300,15928%,,,
"... Occupations in construction, architecture, surveying and technical building services",,,,,,,,,,,,,
"... Occupations in natural sciences, geography and informatics",,,,,,,,,,,,,
"... Occupations in traffic, logistics, safety and security",754,4126%,,,5235,42798%,,,42943,12.30%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,51,0.40%,,,46263,13025%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,71,0.57%,,,81756,22394%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,21442%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",0,0%,,,578,4.53%,,,11556,3289%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.48%,,,
