Variable,N,Mean,SD,Sum,N,Mean,SD,Sum,N,Mean,SD,Sum,Test
category_abs,brown,,,,green,,,,neutral,,,,
"... 6,000 to < 7,500",,,,,,,,,,,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",0,0%,,,0,0%,,,259,0.08%,,,
EF442_num,333,229.429.429,9.287.885,764000,1388,244.283.141,137.016.237,3390650,341187,2.021.383,142.298.733,689669600,F=66.728***
EF114UG4,349,,,,1556,,,,385670,,,,X2=7755.224***
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,131,8419%,,,7790,2.02%,,,
"... Occupations in production of raw materials and goods, and manufacturing",129,36963%,,,486,31234%,,,72532,18807%,,,
"... Occupations in construction, architecture, surveying and technical building services",,,,,,,,,,,,,
"... Occupations in natural sciences, geography and informatics",,,,,,,,,,,,,
"... Occupations in traffic, logistics, safety and security",0,0%,,,0,0%,,,48932,12688%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,0,0%,,,46314,12009%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,0,0%,,,81827,21217%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,20068%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",0,0%,,,0,0%,,,12134,3146%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.37%,,,
