Variable,N,Mean,SD,Sum,N,Mean,SD,Sum,N,Mean,SD,Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
"... 5,000 to < 5,500",,,,,,,,,,,,,
"... 5,500 to < 6,000",,,,,,,,,,,,,
"... 6,000 to < 7,500",,,,,,,,,,,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",5,0.03%,,,4,0.04%,,,250,0.08%,,,
EF442_num,17018,225.507.551,118.016.919,38376875,11332,234.007.898,122.735.059,26517775,314558,199.940.742,143.862.939,628929600,F=552.907***
EF114UG4,18134,,,,12377,,,,357064,,,,X2=65770.039***
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,243,1963%,,,7678,2.15%,,,
"... Occupations in production of raw materials and goods, and manufacturing",13074,72097%,,,3773,30484%,,,56300,15767%,,,
"... Occupations in construction, architecture, surveying and technical building services",,,,,,,,,,,,,
"... Occupations in natural sciences, geography and informatics",,,,,,,,,,,,,
"... Occupations in traffic, logistics, safety and security",754,4158%,,,5235,42296%,,,42943,12027%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,51,0.41%,,,46263,12957%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,71,0.57%,,,81756,22897%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,21675%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",0,0%,,,578,4.67%,,,11556,3236%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.40%,,,
