NACE1D_label,COEFF,COEFF_share_brown_sl,COEFF_share_brown_slt,COEFF_share_green
"Electricity, Gas, Steam and Air Conditioning Supply",21442.47,1503.7746146602926,1052.8492561205273,1033.057966101695
Mining and Quarrying,13747.7,8821.672385919166,4853.800487288136,154.54525423728813
