Mapping project name,ESCO - DKZ Berufe
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-24
Classification 1 Name,ESCO-Berufe
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.3
Classification 1 Language,de
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Digitales-Klassifizierungs-Zentrum Berufe
Classification 2 Concept type,occupations
Classification 2 Version,August 2019
Classification 2 Language,de
Classification 2 Landing page,https://berufenet.arbeitsagentur.de


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,Diplomat/Diplomatin,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,7609,Beamt(er/in) - Auswärtiger Dienst (höh.Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7609,skos:broadMatch
http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,Konsul/Konsulin,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,7609,Beamt(er/in) - Auswärtiger Dienst (höh.Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7609,skos:broadMatch
http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,Leiter im öffentlichen Dienst/Leiterin im öffentlichen Dienst,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,90666,Dienststellenleiter/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90666,skos:exactMatch
http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,Geschäftsführer/Geschäftsführerin,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,7469,Geschäftsführer/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7469,skos:exactMatch
http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,Geschäftsführer eines Flughafens/Geschäftsführerin eines Flughafens,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,7469,Geschäftsführer/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7469,skos:broadMatch
http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,Leiter des operativen Geschäftsbereichs/Leiterin des operativen Geschäftsbereichs,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,7466,Betriebsleiter/in - kaufmännisch,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7466,skos:exactMatch
http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,Manager/Managerin,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,29234,Manager/in (Geschäftsführung),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=29234,skos:exactMatch
http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,Niederlassungsleiter/Niederlassungsleiterin,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,27540,Niederlassungsleiter/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=27540,skos:exactMatch
http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,Finanzmanager/Finanzmanagerin,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,7481,Leiter/in - Finanz- und Rechnungswesen,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7481,skos:exactMatch
http://data.europa.eu/esco/occupation/b680251e-b3c7-4029-9849-66a95081801c,Bankangestellter/Bankangestellte,http://data.europa.eu/esco/occupation/b680251e-b3c7-4029-9849-66a95081801c,131720,Leiter/in - Treasury,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=131720,skos:broadMatch
