,Classification_1_URI_it,Classification_1_PrefLabel_it,Classification_1_URL_it,Classification_2_ID_it,Classification_2_PrefLabel_it,Classification_2_URL_it,Mapping_relation_it,Editorial_note_it,Classification_1_URI_de,Classification_1_PrefLabel_de,Classification_1_URL_de,Classification_2_ID_de,Classification_2_PrefLabel_de,Classification_2_URL_de,Mapping_relation_de,isco08_jrc,occ_eng_jrc,n_green_tasks_jrc,n_tasks_jrc,greenness_jrc
10,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,capo della polizia/capa della polizia,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.2.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,Polizeipräsident/Polizeipräsidentin,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,8155,Polizeivollzugsbeamt(er/in) (höh. Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8155,skos:broadMatch,,,,,0.0
11,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,capo dipartimento dei vigili del fuoco,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.2.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,Feuerwehrkommandant/Feuerwehrkommandantin,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,8169,Beamt(er/in) - Feuerwehr (höh. techn. Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8169,skos:broadMatch,,,,,0.0
12,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,capo dipartimento dei vigili del fuoco,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.2.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,Feuerwehrkommandant/Feuerwehrkommandantin,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852,8170,Einsatzleiter/in (Feuerwehr),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8170,skos:exactMatch,,,,,0.0
13,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,dirigente scolastico/dirigente scolastica,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.3.1,skos:broadMatch,,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,Leiter einer Schule oder Universität/Leiterin einer Schule oder Universität,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,9309,Schulleiter/in - allgemeinbildende Schulen,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=9309,skos:narrowMatch,,,,,0.0
14,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,dirigente scolastico/dirigente scolastica,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.3.1,skos:broadMatch,,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,Leiter einer Schule oder Universität/Leiterin einer Schule oder Universität,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,9345,Schulleiter/in - berufliche Schulen,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=9345,skos:narrowMatch,,,,,0.0
15,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,dirigente scolastico/dirigente scolastica,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.3.1,skos:broadMatch,,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,Leiter einer Schule oder Universität/Leiterin einer Schule oder Universität,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7,9183,Rektor/in / Präsident/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=9183,skos:narrowMatch,,,,,0.0
16,http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d,conservatore di beni culturali/conservatrice di beni culturali,http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d,1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.3.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d,Konservator/Konservatorin,http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d,35327,Konservator/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=35327,skos:exactMatch,,,,,0.0
17,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,dirigente della pubblica amministrazione,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.1,skos:closeMatch,,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,Leiter im öffentlichen Dienst/Leiterin im öffentlichen Dienst,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,90666,Dienststellenleiter/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90666,skos:exactMatch,,,,,0.0
18,http://data.europa.eu/esco/occupation/c02ee787-c30b-4f0d-9d7f-6eb36fc44a5d,responsabile della ricerca,http://data.europa.eu/esco/occupation/c02ee787-c30b-4f0d-9d7f-6eb36fc44a5d,1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/c02ee787-c30b-4f0d-9d7f-6eb36fc44a5d,Forschungsleiter/Forschungsleiterin,http://data.europa.eu/esco/occupation/c02ee787-c30b-4f0d-9d7f-6eb36fc44a5d,90139,Leiter/in - Forschung und Entwicklung,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90139,skos:broadMatch,,,,,0.0
19,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,direttore di istituto di istruzione terziaria/direttrice di istituto di istruzione terziaria,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,Leiter einer höheren Lehranstalt/Leiterin einer höheren Lehranstalt,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,9345,Schulleiter/in - berufliche Schulen,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=9345,skos:narrowMatch,,,,,0.0
20,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,direttore di istituto di istruzione terziaria/direttrice di istituto di istruzione terziaria,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,Leiter einer höheren Lehranstalt/Leiterin einer höheren Lehranstalt,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,9183,Rektor/in / Präsident/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=9183,skos:narrowMatch,,,,,0.0
21,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,responsabile di struttura sanitaria,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,1.1.2.4.3,Direttori generali ed equiparati nella sanità,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.3,skos:closeMatch,,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,Leiter einer Gesundheitseinrichtung/Leiterin einer Gesundheitseinrichtung,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,100538,Krankenhausmanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=100538,skos:narrowMatch,1.1.2.4.3,General managers and equivalent in health care,1.0,11.0,0.09090909090909091
22,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,responsabile di struttura sanitaria,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,1.1.2.4.3,Direttori generali ed equiparati nella sanità,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.3,skos:closeMatch,,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,Leiter einer Gesundheitseinrichtung/Leiterin einer Gesundheitseinrichtung,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa,8797,Pflegedienstleiter/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8797,skos:narrowMatch,1.1.2.4.3,General managers and equivalent in health care,1.0,11.0,0.09090909090909091
23,http://data.europa.eu/esco/occupation/f4de7e28-ca67-46cd-b760-30e02b3aa83b,responsabile di laboratorio di analisi mediche/direttrice di laboratorio di analisi mediche,http://data.europa.eu/esco/occupation/f4de7e28-ca67-46cd-b760-30e02b3aa83b,1.1.2.4.3,Direttori generali ed equiparati nella sanità,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.3,skos:broadMatch,,http://data.europa.eu/esco/occupation/f4de7e28-ca67-46cd-b760-30e02b3aa83b,Leiter eines medizinischen Labors/Leiterin eines medizinischen Labors,http://data.europa.eu/esco/occupation/f4de7e28-ca67-46cd-b760-30e02b3aa83b,8690,Facharzt/-ärztin - Laboratoriumsmedizin,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8690,skos:closeMatch,1.1.2.4.3,General managers and equivalent in health care,1.0,11.0,0.09090909090909091
24,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,responsabile del servizio cartelle cliniche,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,1.1.2.4.3,Direttori generali ed equiparati nella sanità,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.3,skos:broadMatch,,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,Patientendatenverwalter/Patientendatenverwalterin,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,8338,Medizinische/r Dokumentationsassistent/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8338,skos:broadMatch,1.1.2.4.3,General managers and equivalent in health care,1.0,11.0,0.09090909090909091
25,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,responsabile del servizio cartelle cliniche,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,1.1.2.4.3,Direttori generali ed equiparati nella sanità,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.3,skos:broadMatch,,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,Patientendatenverwalter/Patientendatenverwalterin,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,14389,Fachangestellte/r für Medien- u. Info.Dienste - Med. Doku.,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=14389,skos:broadMatch,1.1.2.4.3,General managers and equivalent in health care,1.0,11.0,0.09090909090909091
26,http://data.europa.eu/esco/occupation/8c8b5cba-14b2-4728-b22c-eb90f1786e00,direttore sanitario in strutture private/direttrice sanitaria in strutture private,http://data.europa.eu/esco/occupation/8c8b5cba-14b2-4728-b22c-eb90f1786e00,1.1.2.4.3,Direttori generali ed equiparati nella sanità,http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.4.3,skos:closeMatch,,http://data.europa.eu/esco/occupation/8c8b5cba-14b2-4728-b22c-eb90f1786e00,Praxismanager/Praxismanagerin,http://data.europa.eu/esco/occupation/8c8b5cba-14b2-4728-b22c-eb90f1786e00,34944,Praxismanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=34944,skos:exactMatch,1.1.2.4.3,General managers and equivalent in health care,1.0,11.0,0.09090909090909091
