"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max","Sum""
"... Occupations in teaching and training","16872","4.4%","","","","","",""
"... Occupations in in philology, literature, humanities, social sciences, and economics","1160","0.3%","","","","","",""
"... Occupations in advertising and marketing, in commercial and editorial media design","6948","1.8%","","","","","",""
"... Occupations in product design, artisan craftwork, fine arts and the making of musical instruments","1650","0.4%","","","","","",""
"... Occupations in the performing arts and entertainment","2376","0.6%","","","","","",""
"... Armed forces personnel","1440","0.4%","","","","","",""
"EF137UG1,"x"
"... Crop and animal production, hunting and related service activities","4426","1.1%","","","","","",""
"... Forestry and logging","331","0.1%","","","","","",""
"... Fishing and aquaculture","40","0%","","","","","",""
"... Mining of coal and lignite","137","0%","","","","","",""
"... Extraction of crude petroleum and natural gas","58","0%","","","","","",""
"... Mining of metal ores","21","0%","","","","","",""
"... Other mining and quarrying","384","0.1%","","","","","",""
"... Mining support service activities","40","0%","","","","","",""
"... Manufacture of food products","7079","1.8%","","","","","",""
"... Manufacture of beverages","701","0.2%","","","","","",""
"... Manufacture of tobacco products","120","0%","","","","","",""
"... Manufacture of textiles","777","0.2%","","","","","",""
"... Manufacture of wearing apparel","574","0.1%","","","","","",""
"... Manufacture of leather and related products","222","0.1%","","","","","",""
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","1027","0.3%","","","","","",""
"... Manufacture of paper and paper products","1010","0.3%","","","","","",""
"... Printing and reproduction of recorded media","1590","0.4%","","","","","",""
"... Manufacture of coke and refined petroleum products","257","0.1%","","","","","",""
"... Manufacture of chemicals and chemical products","3384","0.9%","","","","","",""
"... Manufacture of basic pharmaceutical products and pharmaceutical preparations","1548","0.4%","","","","","",""
"... Manufacture of rubber and plastic products","3324","0.9%","","","","","",""
"... Manufacture of other non-metallic mineral products","1976","0.5%","","","","","",""
"... Manufacture of basic metals","2085","0.5%","","","","","",""
"... Manufacture of fabricated metal products, except machinery and equipment","7669","2%","","","","","",""
"... Manufacture of computer, electronic and optical products","4850","1.3%","","","","","",""
"... Manufacture of electrical equipment","2652","0.7%","","","","","",""
"... Manufacture of machinery and equipment n.e.c.,"13052","3.4%","","","","","",""
"... Manufacture of motor vehicles, trailers and semi-trailers","11122","2.9%","","","","","",""
"... Manufacture of other transport equipment","2071","0.5%","","","","","",""
"... Manufacture of furniture","1088","0.3%","","","","","",""
"... Other manufacturing","3734","1%","","","","","",""
"... Repair and installation of machinery and equipment","1478","0.4%","","","","","",""
"... Electricity, gas, steam and air conditioning supply","3066","0.8%","","","","","",""
"... Water collection, treatment and supply","191","0%","","","","","",""
"... Sewerage","329","0.1%","","","","","",""
"... Waste collection, treatment and disposal activities; materials recovery","1663","0.4%","","","","","",""
"... Remediation activities and other waste management services","174","0%","","","","","",""
"... Construction of buildings","4844","1.2%","","","","","",""
"... Civil engineering","2632","0.7%","","","","","",""
