EF541,n_obs,EF952_sum,share_green_wtd,share_brown_wtd,share_neutral_wtd,share_green_unwtd,share_brown_unwtd,share_neutral_unwtd
0110,105,12347.157,0,0,1,0,0,1
0210,72,9550.961,0,0,1,0,0,1
0310,1263,168173.179,0,0,1,0,0,1
1111,113,12220.074,0,0,1,0,0,1
1112,211,22031.293,0,0,1,0,0,1
1114,59,6118.662,0,0,1,0,0,1
1120,6730,734645.324,0,0,1,0,0,1
1211,205,22326.529,0,0,1,0,0,1
1212,516,54449.928,0,0,1,0,0,1
1213,3017,326386.385,0,0,1,0,0,1
1219,39,4102.606,0,0,1,0,0,1
1221,1403,155541.827,0,0,1,0,0,1
1222,333,36469.322,0,0,1,0,0,1
1223,102,11039.419,0,0,1,0,0,1
1312,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1321,1467,160473.557,0,0,1,0,0,1
1322,25,2645.023,0,0,1,0,0,1
1323,534,59876.891,0,0,1,0,0,1
1324,541,59673.472,0,0,1,0,0,1
1330,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1342,519,55536.062,0,0,1,0,0,1
1343,87,9410.5,0,0,1,0,0,1
1344,494,52624.425,0,0,1,0,0,1
1345,461,49265.651,0,0,1,0,0,1
1346,177,18836.548,0,0,1,0,0,1
1349,430,46283.945,0.002908806,0,0.997091194,0.002325581,0,0.997674419
1411,229,26546.358,0,0,1,0,0,1
1412,1306,152361.71,0,0,1,0,0,1
1420,15,1910.94,0,0,1,0,0,1
1431,105,11522.013,0,0,1,0,0,1
1439,23,2544.215,0,0,1,0,0,1
2111,198,22013.186,0,0,1,0,0,1
2112,8,1019.864,0.25,0,0.75,0.25,0,0.75
2113,280,31222.474,0,0,1,0,0,1
2114,99,10746.558,0.388888889,0.055555556,0.555555556,0.388888889,0.055555556,0.555555556
2120,272,30817.301,0,0,1,0,0,1
2131,322,35169.243,0.046987244,0,0.953012756,0.04743083,0,0.95256917
2132,315,33964.368,0.094637929,0,0.905362071,0.092154195,0,0.907845805
2133,106,12288.46,0.980584153,0,0.019415847,0.979784367,0,0.020215633
2141,1124,122801.704,0,0,1,0,0,1
2142,1544,166640.765,0.01131519,0.008464018,0.980220791,0.011981865,0.008257772,0.979760363
2143,93,10312.718,1,0,0,1,0,0
2144,2414,267500.267,0.004324607,0.049029736,0.946645657,0.004438395,0.0495029,0.946058705
2145,311,33837.751,0,0,1,0,0,1
2146,85,9727.695,0,0.169540457,0.830459543,0,0.159663866,0.840336134
2149,2178,240333.18,0.085495774,0.025996319,0.888507907,0.085169881,0.02674472,0.888085399
2151,1057,114986.308,0.107580198,0.106441889,0.785977912,0.107537055,0.106500878,0.785962067
2152,194,21908.671,0,0,1,0,0,1
2153,158,17413.907,0,0,1,0,0,1
2161,1424,157411.48,0,0,1,0,0,1
2162,140,15.586.769,0,0,1,0,0,1
2163,418,48.080.914,0,0,1,0,0,1
2164,216,23.429.331,0,0,1,0,0,1
2165,143,15.190.092,0,0,1,0,0,1
2166,1133,127.885.278,0,0,1,0,0,1
2211,1898,213.488.764,0,0,1,0,0,1
2212,1853,204.242.012,0,0,1,0,0,1
2221,146,15.607.546,0,0,1,0,0,1
2222,212,23.053.321,0,0,1,0,0,1
2230,331,35.156.031,0,0,1,0,0,1
2240,7,863.845,0,0,1,0,0,1
2250,326,34.665.172,0,0,1,0,0,1
2261,699,75897.72,0,0,1,0,0,1
2262,641,71.029.175,0,0,1,0,0,1
2263,101,11.237.457,0.106123921,0,0.893876079,0.108910891,0,0.891089109
2264,1856,201.827.103,0,0,1,0,0,1
2265,175,19.049.717,0,0,1,0,0,1
2266,296,32391.17,0,0,1,0,0,1
2267,23,2.569.428,0,0,1,0,0,1
2269,822,88.366.575,0,0,1,0,0,1
2310,2982,339707.52,0,0,1,0,0,1
2320,2936,318.300.219,0,0,1,0,0,1
2330,4355,467.381.545,0,0,1,0,0,1
2341,2007,214.930.522,0,0,1,0,0,1
2351,629,66.901.099,0.061733945,0,0.938266055,0.061261261,0,0.938738739
2352,957,102.824.373,0,0,1,0,0,1
2353,238,28083.47,0,0,1,0,0,1
2354,549,61.652.186,0,0,1,0,0,1
2355,175,19.817.687,0,0,1,0,0,1
