EF541UG2;n_obs;EF952_sum;share_green_wtd;share_brown_wtd;share_neutral_wtd;share_green_unwtd;share_brown_unwtd;share_neutral_unwtd
1;105;12.347.157;0;0;1;0;0;1
2;72;9.550.961;0;0;1;0;0;1
3;1263;168.173.179;0;0;1;0;0;1
11;7113;775.015.353;0;0;1;0;0;1
12;5615;610.316.016;0;0;1;0;0;1
13;5282;574.131.927;2,34E+11;0;0.9997655051153425;1,89E+12;0;0.9998106777735706
14;1678;194.885.236;0;0;1;0;0;1
21;14232;1.570.288.284;0.04306452554275114;0.02245404558739337;0.9344814288698555;0.042863925937281756;0.022635108006102942;0.9345009660566153
22;9386;1.029.445.036;0.0011584523294549162;0;0.9988415476705451;0.001171958235670147;0;0.9988280417643298
23;15310;1.672.737.434;0.002469047831049696;0;0.9975309521689504;0.002516873503156978;0;0.997483126496843
24;13626;1504926.35;8,27E+11;0;0.9991730669521911;9,17E+11;0;0.9990826361367973
25;7638;862.318.367;0.011689471847930616;0;0.9883105281520694;0.011809374181722964;0;0.988190625818277
26;11348;1.253.213.748;0;0;1;0;0;1
31;19285;2.100.712.092;0.027427370910108485;0.015188312298063208;0.9573843167918282;0.027524426399565895;0.015049615937526113;0.957425957662908
32;24520;2.690.007.502;0.0012669563179530494;0;0.998733043682047;0.001203099510603589;0;0.9987969004893964
33;31872;3.458.178.649;5,18E+11;0;0.9994816490189212;5,17E+11;0;0.9994830172964586
34;12547;1.378.056.724;0;0;1;0;0;1
35;2349;262.352.428;0;0;1;0;0;1
41;14983;1.619.619.744;3,74E+12;0;0.9996261217060919;4,00E+12;0;0.999599546152306
42;6457;701.524.925;0;0;1;0;0;1
43;23255;2.539.726.784;0;0;1;0;0;1
44;3740;419238.14;0;0;1;0;0;1
51;18046;2.035.523.802;0;0;1;0;0;1
52;26588;2934198.11;0;0;1;0;0;1
53;5386;593.187.719;0;0;1;0;0;1
54;3558;394237.57;0;0;1;0;0;1
61;4804;521.284.362;0.001199863348288971;0;0.998800136651711;0.0012489592006661116;0;0.9987510407993339
62;212;22.620.008;0;0;1;0;0;1
71;11450;1321300.93;0.0028421029042387156;0.03938442745806875;0.9577734696376925;0.0029901172144334636;0.0408369272783809;0.9561729555071856
72;17032;1.897.602.362;0;0.029832338689011476;0.9701676613109885;0;0.029670075391151143;0.9703299246088488
73;2219;246.047.941;0;0;1;0;0;1
74;8507;937.112.699;0.01627784953526146;0.010975714311502207;0.9727464361532363;0.0163114969744804;0.011060919019071129;0.9726275840064484
75;6506;731.114.689;0;0;1;0;0;1
81;8508;951.592.716;0;0.05356147265727597;0.946438527342724;0;0.054341656074627126;0.945658343925373
82;2094;239.101.793;0;0;1;0;0;1
83;12247;1.370.797.706;0.0381086954953194;0.004728282642749038;0.9571630218619316;0.038146633312796455;0.004726781161826479;0.9571265855253771
91;10689;1.232.387.261;0;0;1;0;0;1
92;1200;135.607.878;0;0;1;0;0;1
93;11209;1.300.653.543;0;0.00104545596121134;0.9989545440387886;0;0.0010705682933357123;0.9989294317066643
94;3264;385.568.918;0;0;1;0;0;1
96;2380;263.938.561;0.1478446309853381;0;0.8521553690146619;0.14439775910364144;0;0.8556022408963585
