EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
3334,1679,181333.526,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3339,96,10398.759,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3341,4689,522597.058,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3342,1534,165933.227,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3343,9698,1041152.753,4.17E-04,3.84E-04,0,0,0.999582837,0.999615666,0,0,0,0,1,1,0.004588794,0.004227676,0,0,0.995411206,0.995772324
3344,777,84819.163,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3351,331,35974.12,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3352,892,95485.757,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3353,1106,119044.535,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3354,12,1372.192,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3355,1234,133199.054,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3359,52,5472.052,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3411,444,47910.526,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3412,8964,983788.539,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3413,271,28878.123,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3421,83,9666.287,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
