Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
"... 3,600 to < 4,000",467,2.71%,,,377,3.21%,,,7523,2.34%,,,
"... 4,000 to < 4,500",367,2.09%,,,368,3.20%,,,6496,2.02%,,,
"... 4,500 to < 5,000",,,,,,,,,,,,,
"... 5,000 to < 5,500",,,,,,,,,,,,,
"... 5,500 to < 6,000",,,,,,,,,,,,,
"... 6,000 to < 7,500",,,,,,,,,,,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",5,0.03%,,,4,0.04%,,,250,0.08%,,,
EF442_num,17018,2240.2997,1168.04166,4253276908,11332,2329.26734,1219.67043,2922384637,314558,1987.86102,1425.89816,69286497117,F=558.933***
EF114UG4,18134,,,,12377,,,,357064,,,,
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,243,1.91%,,,7678,2.12%,,,
"... Occupations in production of raw materials and goods, and manufacturing",13074,72.28%,,,3773,30.11%,,,56300,15.93%,,,
"... Occupations in construction, architecture, surveying and technical building services",,,,,,,,,,,,,
"... Occupations in natural sciences, geography and informatics",,,,,,,,,,,,,
"... Occupations in traffic, logistics, safety and security",754,4.13%,,,5235,42.80%,,,42943,12.30%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,51,0.40%,,,46263,13.03%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,71,0.57%,,,81756,22.39%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,21.44%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",0,0%,,,578,4.53%,,,11556,3.29%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.48%,,,
