EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel,,
Manufacture of man-made fibres,416,45.477.447,27.836.374.675.324.600,6.598.090.770.130.450,386.009.924.831.163,0.006120919,0.145084898,0.848794183,,
Manufacture of basic pharmaceutical products,33,3.825.165,9.808.454.545.454.540,5.522.426.232.247.280,3.263.113.922.229.810,0.002564191,0.144370929,0.85306488,,
Manufacture of abrasive products and non-metallic mineral products n.e.c.,103,11.570.691,17.270.282.142.857.100,1.669.151.031.109.820,9.728.837.147.461.600,0.014925887,0.144256815,0.840817298,,
Manufacture of pesticides and other agrochemical products,44,4.729.331,122.953,6.813.717.374.847.370,39.250.062.625.152.600,0.025997969,0.144073599,0.829928432,,
Manufacture of metal forming machinery and machine tools,5178,576.073.791,2.432.083.476.424.960,8.267.965.628.414.370,49.096.205.123.943.100,0.004221826,0.143522683,0.85225549,,
Manufacture of parts and accessories for motor vehicles,3910,431.885.407,3.256.659.267.748.910,6.186.951.933.750.880,36.675.922.839.474.200,0.007540563,0.14325448,0.849204957,,
Manufacture of glass and glass products,543,61.896.734,7.346.793.689.574.310,8.333.006.692.718.680,52.829.047.938.323.800,0.011869437,0.134627567,0.853502996,,
Manufacture of weapons and ammunition,70,7.677.127,647.986.923.076.923,10.225.865.626.461.200,6.589.741.745.046.180,0.008440487,0.13319912,0.858360393,,
Manufacture of other chemical products,533,57.306.866,3.045.045.643.939.390,738.834.993.818,4.961.401.149.742.600,0.005313579,0.128926086,0.865760335,,
Extraction of crude petroleum,44,4.394.138,12.864.117.604.617.600,5.404.534.361.129.060,3.725.043.387.840.910,0.029275634,0.122994188,0.847730178,,
Manufacture of cement,143,15387.7,16.340.930.292.207.700,18.920.134.938.437.000,13.332.277.203.234.200,0.010619475,0.122956224,0.8664243,,
Manufacture of military fighting vehicles,38,4.064.728,0,4.796.637.775.446.770,35.850.642.224.553.200,0,0.118006365,0.881993635,,
Manufacture of articles of concrete,480,52.275.704,69.652.402.050.581,5.786.937.958.303.340,4.579.224.202.119.080,0.013324049,0.110700335,0.875975616,,
Manufacture of articles of paper and paperboard,839,93.870.651,35.078.202.957.368.700,10.322.029.072.688.900,8.319.783.989.773.730,0.003736866,0.109960131,0.886303003,,
Manufacture of batteries and accumulators,128,14.332.705,48.784.910.714.285.700,15.316.667.097.109.500,12.752.253.379.574.700,0.003403748,0.106865153,0.8897311,,
Extraction of natural gas,14,1.492.716,22.377.833.333.333.300,15.865.532.692.307.600,13.116.828.397.435.800,0.014991354,0.106286344,0.878722302,,
Sewerage,328,34.980.826,40.679.099.190.953.900,37.040.260.583.729.900,27.208.890.022.531.600,0.116289705,0.105887324,0.777822971,,
Manufacture of other special-purpose machinery,3548,390192.44,233.384.019.400.527,4.008.002.432.904.970,34.777.857.547.694.400,0.005981254,0.102718608,0.891300138,,
Manufacturing n.e.c.,384,41.691.758,1.979.627.017.857.140,40.059.009.153.808.400,37.487.894.382.833.400,0.004748245,0.096083761,0.899167993,,
Manufacture of clay building materials,107,11.816.549,39.623.045.454.545.400,11.304.257.037.240.500,106.465.002.508.214,0.003353183,0.095664623,0.900982195,,
Manufacture of wiring and wiring devices,325,35.608.082,24.250.736.904.761.900,3.381.471.712.920.520,31.984.102.918.031.800,0.006810459,0.094963602,0.89822594,,
Manufacture of irradiation,224,24.780.234,13.748.256.818.181.800,23.111.641.382.210.100,22.331.587.293.597.100,0.005548074,0.093266437,0.901185489,,
Water collection,191,20.319.101,1.896.303.911.725.950,18.928.377.980.195.600,16.529.959.290.254.400,0.093326172,0.093155588,0.81351824,,
Manufacture of refractory products,74,7.786.789,13.602.342.857.142.800,6.883.822.537.240.530,6.962.383.317.704.510,0.017468488,0.088403866,0.894127646,,
Transport via pipeline,28,2.872.793,5.112.304.761.904.760,25.110.572.344.322.300,2.570.564.228.937.720,0.01779559,0.08740822,0.894796189,,
Manufacture of motor vehicles,6747,738.479.667,5.069.143.327.287.980,614.959.346.192.488,6.719.145.890.534.630,0.006864296,0.083273701,0.909862003,,
Demolition and site preparation,379,44799.26,9.441.244.408.559.270,3.688.713.503.528.520,4.016.642.205.561.550,0.021074554,0.082338715,0.896586731,,
Manufacture of steam generators,26,3.052.217,8.437.993.478.260.860,2.467.021.443.897.100,27.211.349.208.276.800,0.027645457,0.080827197,0.891527346,,
Manufacture of railway locomotives and rolling stock,285,31.573.093,3.775.483.095.238.090,2.542.971.000.347.310,28.652.573.690.128.800,0.011957913,0.080542347,0.90749974,,
Manufacture of electric lighting equipment,313,34.610.029,4.678.861.845.238.090,27.825.364.011.794.200,3.135.960.641.429.670,0.013518804,0.080396824,0.906084373,,
Manufacture of other general-purpose machinery,2297,252.173.377,22.551.685.395.656.800,20.257.977.009.975.400,22.966.023.145.045.800,0.008942929,0.080333528,0.910723543,,
Processing and preserving of fish crustaceans and molluscs,57,6721.06,0,5.363.435.051.282.050,6.184.716.494.871.790,0,0.079800434,0.920199566,,
Manufacture of electric motors,1102,121.299.047,1.475.489.208.495.670,9.428.892.948.517.190,11.039.466.484.298.700,0.012164063,0.077732622,0.910103316,,
Manufacture of other food products,1106,122.408.212,3.429.621.084.415.580,9.337.827.395.382.390,11.272.742.249.617.600,0.00280179,0.076284321,0.920913888,,
Sale of motor vehicle parts and accessories,1541,172.494.837,8.733.508.111.471.860,12.934.516.901.035.300,15.868.696.928.781.700,0.005063055,0.074984951,0.919951994,,
Manufacture of transport equipment n.e.c.,236,26.126.215,6.944.595.454.545.450,1.951.055.365.027.610,24.105.713.680.426.900,0.002658095,0.074678072,0.922663833,,
Manufacture of pharmaceutical preparations,1514,166.054.589,9.267.413.406.385.280,1.228.071.373.086.310,15.284.713.392.849.800,0.005580944,0.073955883,0.920463173,,
Remediation activities and other waste management services,174,19.334.566,25.254.721.267.808.200,14.153.426.179.560.000,15.393.751.255.263.100,0.130619541,0.073202709,0.79617775,,
Preparation and spinning of textile fibres,42,4.793.121,17.991.125,34.906.027.615.416,442.606.959.884.584,0.00375353,0.072825259,0.923421211,,
Manufacture of agricultural and forestry machinery,367,41.219.278,18.882.893.084.415.500,2.824.611.005.566.260,3.820.583.806.358.950,0.004581083,0.068526455,0.926892462,,
Steam and air conditioning supply,101,11.657.437,7.206.061.739.169.640,7.956.454.793.742.060,1.014.118.534.670.880,0.061815146,0.068252179,0.869932674,,
Manufacture of tanks,98,10.874.663,18.338.925,7.303.968.739.191.660,9.960.876.876.080.830,0.016863902,0.067165012,0.915971086,,
Electrical,7140,802.374.946,6.145.633.050.451.390,5.262.917.452.723.860,7.436.001.384.223.090,0.007659303,0.065591747,0.92674895,,
Repair of fabricated metal products,713,77.879.481,38.485.313.896.103.800,501.823.254.834.123,7.247.639.531.269.770,0.00494165,0.064435876,0.930622474,,
Manufacture of instruments and appliances for measuring,841,91.937.609,9.105.029.953.102.450,58.668.607.441.664,8.516.024.526.052.330,0.009903488,0.063813501,0.926283011,,
Processing and preserving of fruit and vegetables,161,19088.13,29.351.838.474.025.900,119.123.510.989.011,17.867.543.051.635.800,0.001537701,0.062407114,0.936055185,,
Manufacture of games and toys,476,52.829.485,3.677.962.428.571.420,3.203.983.494.365.800,49.257.705.262.777.000,0.00696195,0.060647638,0.932390412,,
Manufacture of air and spacecraft and related machinery,1141,127.460.467,8.221.657.353.896.100,7.727.318.895.116.440,11.891.098.236.949.300,0.006450359,0.06062522,0.932924421,,
Manufacture of dairy products,404,45.555.007,2.078.246.155.844.150,271.702.374.952.898,42.630.158.634.886.600,0.004562059,0.059642703,0.935795238,,
Manufacture of grain mill products starches and starch products,90,9.953.417,4.788.264.935.064.930,5.882.833.654.567.650,9.317.250.985.192.580,0.004810675,0.059103659,0.936085666,,
Other specialised construction activities,4444,497.468.735,26.188.092.140.863.500,2.912.720.444.430.900,4.657.227.213.416.040,0.005264269,0.058550824,0.936184907,,
Installation of industrial machinery and equipment,765,85.347.891,9.066.680.958.152.950,4.849.001.860.237.560,7.959.222.104.394.710,0.010623204,0.056814548,0.932562247,,
Manufacture of soap and detergents cleaning and polishing preparations  perfumes and toilet preparations,533,59567.18,3.141.090.892.857.140,3.357.761.629.648.160,5.589.530.928.106.610,0.005273191,0.056369323,0.938357486,,
Manufacture of vegetable and animal oils and fats,31,3.241.036,9.927.363.636.363.630,17.297.471.501.831.500,30.581.339.213.453.200,0.003063022,0.053370192,0.943566786,,
Manufacture of domestic appliances,510,56810.48,4.254.139.869.047.610,3.010.948.860.749.190,5.337.411.715.234.600,0.007488301,0.052999884,0.939511815,,
Manufacture of other textiles,417,45.597.396,11.708.959.821.428.500,2.416.036.794.723.350,43.064.269.607.062.300,0.002567901,0.052986289,0.94444581,,
Manufacture of electronic components and boards,1738,192.312.137,19.532.642.869.588.700,10.081.223.755.179.800,18.027.764.895.786.100,0.01015674,0.052421152,0.937422109,,
Building of ships and boats,366,41.943.781,594.236.876.984.127,21.949.879.555.862.200,3.968.936.935.671.530,0.001416746,0.052331666,0.946251587,,
Sawmilling and planing of wood,258,29.562.768,61.618.685.064.935.000,15.179.902.985.990.600,27.983.159.016.336,0.002084334,0.051348044,0.946567622,,
Finishing of textiles,231,25.605.192,138.500.125,12.843.411.094.017.000,2.418.235.076.559.820,0.005409064,0.050159402,0.944431534,,
Wholesale on a fee or contract basis,6005,663.721.996,3.733.413.629.712.900,316.550.203.224.605,6.283.335.620.478.260,0.005624966,0.047693192,0.946681842,,
Other specialised wholesale,2623,287.514.144,29.167.437.327.297.700,1.345.024.818.696.880,27.114.715.208.030.100,0.010144697,0.04678117,0.943074133,,
Manufacture of other electrical equipment,271,29.805.955,19.836.337.916.666.600,13.855.524.532.858.900,2.822.203.916.754.740,0.006655159,0.046485759,0.946859081,,
Manufacture of products of wood cork straw and plaiting materials,767,84.054.513,2.376.358.764.952.150,3.901.376.997.179.720,7.991.550.012.632.500,0.002827164,0.046414843,0.950757994,,
Manufacture of prepared animal feeds,195,21.844.073,16.838.963.636.363.600,1.004.100.045.909.640,2.067.158.331.772.670,0.007708711,0.045966704,0.946324585,,
Manufacture of optical instruments and photographic equipment,366,40.722.451,18.402.694.318.181.800,18.204.447.120.011.500,38.717.979.344.817.000,0.004519054,0.044703712,0.950777235,,
Waste treatment and disposal,537,60.019.288,7.536.236.776.760.370,2.646.139.252.347.480,49.836.911.970.892.100,0.125563582,0.044088148,0.83034827,,
Manufacture of beverages,699,77714.43,40.817.176.993.145.700,3.359.378.869.262.900,7.394.687.936.080.560,0.005252201,0.043227221,0.951520578,,
