EF137UG1,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Retail trade,30507,3.373.722.941,4.635.467.698.809.520,14.379.697.610.920.000,33.547.077.756.902.700,0.001373992,0.004262264,0.994363744
Land transport and transport via pipelines,5314,587.033.243,8.239.618.169.678.930,3.611.704.927.980.010,5.751.819.199.023.410,0.014036033,0.006152471,0.979811496
Water transport,305,34.873.581,1.410.228.701.298.700,12.787.591.972.661.400,3.460.468.221.014.350,0.004043831,0.003666842,0.992289327
Air transport,781,86.726.644,1.115.675.840.909.090,23.823.842.731.829.500,8.637.683.798.859.070,0.001286428,0.002747004,0.995966568
Warehousing and support activities for transportation,9697,1.097.317.339,23.785.419.094.209.900,45.651.861.024.966.200,10.689.667.338.032.900,0.021675971,0.004160315,0.974163713
Postal and courier activities,3111,354.289.309,12.852.759.415.584.400,8.911.454.837.815.690,35.211.288.757.466,0.003627758,0.002515304,0.993856937
Accommodation,4568,526.028.922,16.196.332.186.563.400,4.478.605.214.285.710,5.254.190.981.567.050,3,,
Food and beverage service activities,9003,1.081.044.249,5.819.641.363.636.360,1.392.612.364.672.360,1.079.069.672.498.960,5,,
Publishing activities,4904,552.584.814,21.471.769.844.155.800,8.309.215.428.164.420,549.606.715.472.768,0.003885697,0.0015037,0.994610604
Motion picture,770,87.358.875,6.414.737.727.272.720,43.350.876.914.508.400,8.686.121.885.358.210,7,,
Programming and broadcasting activities,392,41.776.133,5.590.858.712.121.210,875.559.241.192.412,4.163.266.848.875.950,0.00133829,0.002095836,0.996565874
Telecommunications,555,61.217.095,1.864.111.803.030.300,19.314.853.966.131.900,6.083.753.528.003.560,0.003045084,0.003155141,0.993799776
Computer programming,5119,571.834.351,556.151.955.762.987,7.530.868.960.520.950,5.655.197.445.463.180,0.009725753,0.001316967,0.98895728
Information service activities,714,81.163.402,17.032.135.476.190.400,13.945.769.157.509.100,80.853.622.953.663,0.002098499,0.001718234,0.996183267
Financial service activities,6578,707.741.265,8.845.384.168.290.040,21.579.088.941.798.900,706.640.935.693.753,0.001249805,3,
Insurance,1582,169.158.394,12.394.142.857.142.800,21.915.263.406.593.400,16.881.529.993.736.200,7,,
Activities auxiliary to financial services and insurance activities,3626,394.942.876,6.687.372.674.242.420,15.109.823.308.270.600,3.941.230.404.994.930,0.001693251,3,
Real estate activities,2009,217.177.451,11.127.948.342.032.900,6.893.236.620.379.620,21.537.533.250.375.800,0.005123897,0.003174011,0.991702092
Legal and accounting activities,6343,687.071.914,18.670.384.545.454.500,15.385.133.976.393.900,6.867.313.588.147.810,2,,
Activities of head offices,,,,,,,,
Architectural and engineering activities,,,,,,,,
Scientific research and development,2261,255288.7,4.884.586.617.784.990,4.496.336.781.544.440,24.590.777.660.067.000,0.019133579,0.017612753,0.963253668
Advertising and market research,1471,164711.9,139.725.675,13.399.738.459.801.200,164.438.176.940.402,8,,
